image_id	width	height	aspect_ratio
0	256	256	1.000000
1	256	256	1.000000
2	256	256	1.000000
3	256	256	1.000000
4	256	256	1.000000
5	256	256	1.000000
6	256	256	1.000000
7	256	256	1.000000
8	256	256	1.000000
9	256	256	1.000000
10	256	256	1.000000
11	256	256	1.000000
12	256	256	1.000000
13	256	256	1.000000
14	256	256	1.000000
15	256	256	1.000000
16	256	256	1.000000
17	256	256	1.000000
18	256	256	1.000000
19	256	256	1.000000
20	256	256	1.000000
21	256	256	1.000000
22	256	256	1.000000
23	256	256	1.000000
24	256	256	1.000000
25	256	256	1.000000
26	256	256	1.000000
27	256	256	1.000000
28	256	256	1.000000
29	256	256	1.000000
30	256	256	1.000000
31	256	256	1.000000
32	256	256	1.000000
33	256	256	1.000000
34	256	256	1.000000
35	256	256	1.000000
36	256	256	1.000000
37	256	256	1.000000
38	256	256	1.000000
39	256	256	1.000000
40	256	256	1.000000
41	256	256	1.000000
42	256	256	1.000000
43	256	256	1.000000
44	256	256	1.000000
45	256	256	1.000000
46	256	256	1.000000
47	256	256	1.000000
48	256	256	1.000000
49	256	256	1.000000
50	256	256	1.000000
51	256	256	1.000000
52	256	256	1.000000
53	256	256	1.000000
54	256	256	1.000000
55	256	256	1.000000
56	256	256	1.000000
57	256	256	1.000000
58	256	256	1.000000
59	256	256	1.000000
60	256	256	1.000000
61	256	256	1.000000
62	256	256	1.000000
63	256	256	1.000000
64	256	256	1.000000
65	256	256	1.000000
66	256	256	1.000000
67	256	256	1.000000
68	256	256	1.000000
69	256	256	1.000000
70	256	256	1.000000
71	256	256	1.000000
72	256	256	1.000000
73	256	256	1.000000
74	256	256	1.000000
75	256	256	1.000000
76	256	256	1.000000
77	256	256	1.000000
78	256	256	1.000000
79	256	256	1.000000
80	256	256	1.000000
81	256	256	1.000000
82	256	256	1.000000
83	256	256	1.000000
84	256	256	1.000000
85	256	256	1.000000
86	256	256	1.000000
87	256	256	1.000000
88	256	256	1.000000
89	256	256	1.000000
90	256	256	1.000000
91	256	256	1.000000
92	256	256	1.000000
93	256	256	1.000000
94	256	256	1.000000
95	256	256	1.000000
96	256	256	1.000000
97	256	256	1.000000
98	256	256	1.000000
99	256	256	1.000000
100	256	256	1.000000
101	256	256	1.000000
102	256	256	1.000000
103	256	256	1.000000
104	256	256	1.000000
105	256	256	1.000000
106	256	256	1.000000
107	256	256	1.000000
108	256	256	1.000000
109	256	256	1.000000
110	256	256	1.000000
111	256	256	1.000000
112	256	256	1.000000
113	256	256	1.000000
114	256	256	1.000000
115	256	256	1.000000
116	256	256	1.000000
117	256	256	1.000000
118	256	256	1.000000
119	256	256	1.000000
120	256	256	1.000000
121	256	256	1.000000
122	256	256	1.000000
123	256	256	1.000000
124	256	256	1.000000
125	256	256	1.000000
126	256	256	1.000000
127	256	256	1.000000
128	256	256	1.000000
129	256	256	1.000000
130	256	256	1.000000
131	256	256	1.000000
132	256	256	1.000000
133	256	256	1.000000
134	256	256	1.000000
135	256	256	1.000000
136	256	256	1.000000
137	256	256	1.000000
138	256	256	1.000000
139	256	256	1.000000
140	256	256	1.000000
141	256	256	1.000000
142	256	256	1.000000
143	256	256	1.000000
144	256	256	1.000000
145	256	256	1.000000
